,open,high,low,close,volume
2024-09-10 10:00:00,2734.518,2735.36,2724.382,2729.801,7499268400.0
2024-09-10 10:15:00,2734.518,2735.36,2724.382,2729.801,7499268400.0
2024-09-10 10:30:00,2734.518,2735.36,2724.382,2729.801,7499268400.0
2024-09-10 10:45:00,2734.518,2735.36,2724.382,2729.801,7499268400.0
2024-09-10 11:00:00,2729.92,2730.49,2718.627,2722.012,3423146300.0
2024-09-10 11:15:00,2729.92,2730.49,2718.627,2722.012,3423146300.0
2024-09-10 11:30:00,2729.92,2730.49,2718.627,2722.012,3423146300.0
2024-09-10 13:15:00,2722.069,2735.362,2722.069,2723.374,3523593900.0
2024-09-10 13:30:00,2722.069,2735.362,2722.069,2723.374,3523593900.0
2024-09-10 13:45:00,2722.069,2735.362,2722.069,2723.374,3523593900.0
2024-09-10 14:00:00,2723.059,2750.118,2722.872,2744.135,5082440400.0
2024-09-10 14:15:00,2723.059,2750.118,2722.872,2744.135,5082440400.0
2024-09-10 14:30:00,2723.059,2750.118,2722.872,2744.135,5082440400.0
2024-09-10 14:45:00,2723.059,2750.118,2722.872,2744.135,5082440400.0
2024-09-10 15:00:00,2744.019,2744.641,2742.081,2744.192,1677170000.0
2024-09-11 09:45:00,2732.731,2732.731,2720.912,2727.64,4434104200.0
2024-09-11 10:00:00,2728.004,2730.231,2719.678,2725.605,7370428900.0
2024-09-11 10:15:00,2728.004,2730.231,2719.678,2725.605,7370428900.0
2024-09-11 10:30:00,2728.004,2730.231,2719.678,2725.605,7370428900.0
2024-09-11 10:45:00,2728.004,2730.231,2719.678,2725.605,7370428900.0
2024-09-11 11:00:00,2725.344,2726.703,2717.834,2718.847,2911466100.0
2024-09-11 11:15:00,2725.344,2726.703,2717.834,2718.847,2911466100.0
2024-09-11 11:30:00,2725.344,2726.703,2717.834,2718.847,2911466100.0
2024-09-11 13:15:00,2719.308,2724.159,2715.291,2715.625,3178266500.0
2024-09-11 13:30:00,2719.308,2724.159,2715.291,2715.625,3178266500.0
2024-09-11 13:45:00,2719.308,2724.159,2715.291,2715.625,3178266500.0
2024-09-11 14:00:00,2715.542,2722.676,2710.624,2722.672,4485733100.0
2024-09-11 14:15:00,2715.542,2722.676,2710.624,2722.672,4485733100.0
2024-09-11 14:30:00,2715.542,2722.676,2710.624,2722.672,4485733100.0
2024-09-11 14:45:00,2715.542,2722.676,2710.624,2722.672,4485733100.0
2024-09-11 15:00:00,2722.306,2724.818,2721.795,2721.795,1846491200.0
2024-09-12 09:45:00,2722.138,2733.754,2722.138,2729.237,5611895800.0
2024-09-12 10:00:00,2729.293,2734.683,2721.122,2722.303,7061278600.0
2024-09-12 10:15:00,2729.293,2734.683,2721.122,2722.303,7061278600.0
2024-09-12 10:30:00,2729.293,2734.683,2721.122,2722.303,7061278600.0
2024-09-12 10:45:00,2729.293,2734.683,2721.122,2722.303,7061278600.0
2024-09-12 11:00:00,2722.113,2722.795,2717.793,2720.4,2418027100.0
2024-09-12 11:15:00,2722.113,2722.795,2717.793,2720.4,2418027100.0
2024-09-12 11:30:00,2722.113,2722.795,2717.793,2720.4,2418027100.0
2024-09-12 13:15:00,2720.82,2731.892,2719.652,2725.008,3173764600.0
2024-09-12 13:30:00,2720.82,2731.892,2719.652,2725.008,3173764600.0
2024-09-12 13:45:00,2720.82,2731.892,2719.652,2725.008,3173764600.0
2024-09-12 14:00:00,2724.967,2726.332,2719.303,2720.276,3906036500.0
2024-09-12 14:15:00,2724.967,2726.332,2719.303,2720.276,3906036500.0
2024-09-12 14:30:00,2724.967,2726.332,2719.303,2720.276,3906036500.0
2024-09-12 14:45:00,2724.967,2726.332,2719.303,2720.276,3906036500.0
2024-09-12 15:00:00,2720.039,2720.536,2716.555,2717.123,1837428900.0
2024-09-13 09:45:00,2718.986,2724.902,2717.41,2723.609,4938916800.0
2024-09-13 10:00:00,2724.025,2728.78,2718.412,2718.792,7801484900.0
2024-09-13 10:15:00,2724.025,2728.78,2718.412,2718.792,7801484900.0
2024-09-13 10:30:00,2724.025,2728.78,2718.412,2718.792,7801484900.0
2024-09-13 10:45:00,2724.025,2728.78,2718.412,2718.792,7801484900.0
2024-09-13 11:00:00,2718.853,2718.853,2711.985,2714.769,2882251700.0
2024-09-13 11:15:00,2718.853,2718.853,2711.985,2714.769,2882251700.0
2024-09-13 11:30:00,2718.853,2718.853,2711.985,2714.769,2882251700.0
2024-09-13 13:15:00,2714.742,2719.513,2713.023,2717.416,2969207900.0
2024-09-13 13:30:00,2714.742,2719.513,2713.023,2717.416,2969207900.0
2024-09-13 13:45:00,2714.742,2719.513,2713.023,2717.416,2969207900.0
2024-09-13 14:00:00,2717.265,2717.857,2703.369,2708.165,4619012400.0
2024-09-13 14:15:00,2717.265,2717.857,2703.369,2708.165,4619012400.0
2024-09-13 14:30:00,2717.265,2717.857,2703.369,2708.165,4619012400.0
2024-09-13 14:45:00,2717.265,2717.857,2703.369,2708.165,4619012400.0
2024-09-13 15:00:00,2708.12,2708.354,2703.735,2704.09,1916130100.0
2024-09-18 09:45:00,2705.345,2715.212,2700.775,2712.57,4932779100.0
2024-09-18 10:00:00,2712.261,2712.263,2702.848,2705.67,6902043000.0
2024-09-18 10:15:00,2712.261,2712.263,2702.848,2705.67,6902043000.0
2024-09-18 10:30:00,2712.261,2712.263,2702.848,2705.67,6902043000.0
2024-09-18 10:45:00,2712.261,2712.263,2702.848,2705.67,6902043000.0
2024-09-18 11:00:00,2706.093,2706.093,2701.697,2702.851,2573575600.0
2024-09-18 11:15:00,2706.093,2706.093,2701.697,2702.851,2573575600.0
2024-09-18 11:30:00,2706.093,2706.093,2701.697,2702.851,2573575600.0
2024-09-18 13:15:00,2702.539,2707.636,2689.695,2707.636,3316055400.0
2024-09-18 13:30:00,2702.539,2707.636,2689.695,2707.636,3316055400.0
2024-09-18 13:45:00,2702.539,2707.636,2689.695,2707.636,3316055400.0
2024-09-18 14:00:00,2707.061,2724.114,2707.061,2714.116,5413985300.0
2024-09-18 14:15:00,2707.061,2724.114,2707.061,2714.116,5413985300.0
2024-09-18 14:30:00,2707.061,2724.114,2707.061,2714.116,5413985300.0
2024-09-18 14:45:00,2707.061,2724.114,2707.061,2714.116,5413985300.0
2024-09-18 15:00:00,2713.7,2717.281,2713.263,2717.281,1643274800.0
2024-09-19 09:45:00,2723.205,2725.864,2703.178,2703.652,5660213000.0
2024-09-19 10:00:00,2703.084,2747.74,2697.776,2742.481,12571994300.0
2024-09-19 10:15:00,2703.084,2747.74,2697.776,2742.481,12571994300.0
2024-09-19 10:30:00,2703.084,2747.74,2697.776,2742.481,12571994300.0
